,college,dateOfBirth,firstName,height,highSchool,hometown,instagramHandle,lastName,playerId,position,team,twitterHandle,weight,stats
000201,Virginia,1989-04-25T00:00:00.000Z,Adam,5’9,Cold Spring Harbor High School,"Cold Spring Harbor, NY",adam8taylor,Ghitelman,000201,Goalie,Archers,adam8taylor,180,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000201', 'TeamId': 'ARC', 'Jersey': '8', 'FirstName': 'Adam', 'LastName': 'Ghitelman', 'Position': 'G', 'GamesPlayed': '9', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '2', 'ShotsOnGoal': '2', 'ShotPercentage': '0.0', 'GroundBalls': '11', 'Turnovers': '3', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '79', 'SavePercentage': '51.2', 'TwoPointShots': 2, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 79, 'GAA': '12.1'}]"
000202,Princeton,1996-12-29T00:00:00.000Z,Austin,6’1,Fairfield Prep,"Fairfield, CT",Austinsims18,Sims,000202,Midfield,Archers,Austinsims18,200,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000202', 'TeamId': 'ARC', 'Jersey': '18', 'FirstName': 'Austin', 'LastName': 'Sims', 'Position': 'Midfield', 'GamesPlayed': '3', 'Goals': '2', 'Assists': '0', 'Points': '2', 'TwoPointers': '0', 'Shots': '12', 'ShotsOnGoal': '6', 'ShotPercentage': '16.6', 'GroundBalls': '1', 'Turnovers': '2', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 2, 'TwoPointGoals': 0, 'OnePointShots': 10, 'OnePointGoals': 2, 'OnePointShotPercentage': '20.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000203,Drexel,1991-05-28T00:00:00.000Z,Ben,5’11,Western Reserve Academy,"Coquitlam, British Columbia, Canada",benmc10,McIntosh,000203,Midfield,Archers,BenMc90,205,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000203', 'TeamId': 'ARC', 'Jersey': '90', 'FirstName': 'Ben', 'LastName': 'McIntosh', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '11', 'Assists': '2', 'Points': '13', 'TwoPointers': '0', 'Shots': '44', 'ShotsOnGoal': '27', 'ShotPercentage': '25.0', 'GroundBalls': '7', 'Turnovers': '7', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 43, 'OnePointGoals': 11, 'OnePointShotPercentage': '25.5', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000383,Duke,1991-12-27T00:00:00.000Z,Brendan,6’0,Chaminade,"Wantagh, NY",BRabbit_3,Fowler,000383,Faceoff,Archers,BRabbit_3,195,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000383', 'TeamId': 'ARC', 'Jersey': '7', 'FirstName': 'Brendan', 'LastName': 'Fowler', 'Position': 'M', 'GamesPlayed': '5', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '2', 'ShotPercentage': '0.0', 'GroundBalls': '9', 'Turnovers': '1', 'CauseTurnovers': '0', 'FaceoffsWon': '18', 'Faceoffs': '41', 'FaceoffsPercentage': '43.9', 'FaceoffsWon_Lost': '18-23', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 3, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000204,Villanova,1996-05-26T00:00:00.000Z,Christian,6’0,Mountain Lakes HS,"Mountain Lakes, NJ",christian_cuccinello30,Cuccinello,000204,Attack,Archers,Cucci_Mane30,210,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000204', 'TeamId': 'ARC', 'Jersey': '30', 'FirstName': 'Christian', 'LastName': 'Cuccinello', 'Position': 'A', 'GamesPlayed': '8', 'Goals': '8', 'Assists': '4', 'Points': '12', 'TwoPointers': '0', 'Shots': '28', 'ShotsOnGoal': '17', 'ShotPercentage': '28.5', 'GroundBalls': '10', 'Turnovers': '7', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 27, 'OnePointGoals': 8, 'OnePointShotPercentage': '29.6', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000380,,,Curtis,,,,,Corley,000380,Defense,Archers,,,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000380', 'TeamId': 'ARC', 'Jersey': '42', 'FirstName': 'Curtis', 'LastName': 'Corley', 'Position': 'D', 'GamesPlayed': '6', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '6', 'Turnovers': '2', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000205,Harvard,1992-09-18T00:00:00.000Z,Danny,5’10,Westhill,"Syracuse, NY",goodmoneysniper,Eipp,000205,Midfield,Archers,goodmoneysniper,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000205', 'TeamId': 'ARC', 'Jersey': '3', 'FirstName': 'Danny', 'LastName': 'Eipp', 'Position': 'M', 'GamesPlayed': '9', 'Goals': '5', 'Assists': '4', 'Points': '9', 'TwoPointers': '0', 'Shots': '19', 'ShotsOnGoal': '12', 'ShotPercentage': '26.3', 'GroundBalls': '3', 'Turnovers': '4', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 19, 'OnePointGoals': 5, 'OnePointShotPercentage': '26.3', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000206,University of North Carolina,1990-09-08T00:00:00.000Z,Davey,5’11,Gilman School,"Baltimore, MD",davey_emala,Emala,000206,Attack,Archers,DaveyEmala_0,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000206', 'TeamId': 'ARC', 'Jersey': '0', 'FirstName': 'Davey', 'LastName': 'Emala', 'Position': 'A', 'GamesPlayed': '1', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '0', 'Turnovers': '0', 'CauseTurnovers': '0', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000207,Ohio State,1991-07-14T00:00:00.000Z,Dominique,6’2,Baldwin High School,"Baldwin, NY",dalexander_23,Alexander,000207,Midfield,Archers,Mr_Alexander23,225,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000207', 'TeamId': 'ARC', 'Jersey': '23', 'FirstName': 'Dominique', 'LastName': 'Alexander', 'Position': 'M', 'GamesPlayed': '10', 'Goals': '0', 'Assists': '1', 'Points': '1', 'TwoPointers': '0', 'Shots': '3', 'ShotsOnGoal': '1', 'ShotPercentage': '0.0', 'GroundBalls': '15', 'Turnovers': '2', 'CauseTurnovers': '5', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '0', 'SavePercentage': '0.0', 'TwoPointShots': 1, 'TwoPointGoals': 0, 'OnePointShots': 2, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 0, 'GAA': '0.0'}]"
000208,Penn State,1986-08-19T00:00:00.000Z,Drew,6’2,Springfield HS,"Springfield, PA",DrewAdams14,Adams,000208,Goalie,Archers,Drewadams514,185,"[{'timestamp': '9/10/2019 9:21:30 PM', 'playerId': '000208', 'TeamId': 'ARC', 'Jersey': '14', 'FirstName': 'Drew', 'LastName': 'Adams', 'Position': 'G', 'GamesPlayed': '7', 'Goals': '0', 'Assists': '0', 'Points': '0', 'TwoPointers': '0', 'Shots': '0', 'ShotsOnGoal': '0', 'ShotPercentage': '0.0', 'GroundBalls': '7', 'Turnovers': '0', 'CauseTurnovers': '1', 'FaceoffsWon': '0', 'Faceoffs': '0', 'FaceoffsPercentage': '0.0', 'FaceoffsWon_Lost': '0-0', 'Saves': '47', 'SavePercentage': '65.2', 'TwoPointShots': 0, 'TwoPointGoals': 0, 'OnePointShots': 0, 'OnePointGoals': 0, 'OnePointShotPercentage': '0.0', 'TwoPointShotPercentage': '0.0', 'GoalsAgainst': 26, 'GAA': '7.4'}]"
